"Name","Live Bytes","Live Objects"
"javassist.bytecode.FieldInfo","4,840 B (0%)","121 (0%)"
"java.lang.invoke.DirectMethodHandle$Special","3,840 B (0%)","120 (0%)"
"javassist.bytecode.StackMapTable","2,880 B (0%)","120 (0%)"
"java.lang.reflect.Constructor[]","2,672 B (0%)","117 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","3,744 B (0%)","117 (0%)"
"java.util.zip.ZStreamRef","2,736 B (0%)","114 (0%)"
"java.lang.invoke.LambdaForm$Name[]","4,896 B (0%)","113 (0%)"
"java.util.zip.Inflater","5,376 B (0%)","112 (0%)"
"java.lang.invoke.LambdaForm","5,184 B (0%)","108 (0%)"
"java.util.jar.JarFile$JarFileEntry","10,080 B (0%)","105 (0%)"
"sun.reflect.annotation.AnnotationInvocationHandler","2,496 B (0%)","104 (0%)"
"java.rmi.MarshalledObject","2,280 B (0%)","95 (0%)"
"java.security.Permission[]","2,256 B (0%)","94 (0%)"
"java.util.HashMap$KeySet","1,504 B (0%)","94 (0%)"
"java.security.PermissionsHash","2,256 B (0%)","94 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$5","2,256 B (0%)","94 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$6","2,256 B (0%)","94 (0%)"
"java.lang.Thread[]","22,312 B (0%)","94 (0%)"
"javax.management.MBeanPermission","3,760 B (0%)","94 (0%)"
"org.graalvm.visualvm.lib.jfluid.wireprotocol.Command","1,456 B (0%)","91 (0%)"
"java.util.jar.Attributes$Name","2,184 B (0%)","91 (0%)"
"java.util.concurrent.CopyOnWriteArrayList","2,136 B (0%)","89 (0%)"
"java.io.ByteArrayInputStream","2,816 B (0%)","88 (0%)"
"java.rmi.MarshalledObject$MarshalledObjectInputStream","4,928 B (0%)","88 (0%)"
"java.lang.invoke.MethodTypeForm","4,928 B (0%)","88 (0%)"
"java.lang.management.ThreadInfo[]","21,032 B (0%)","79 (0%)"
"java.lang.ref.PhantomReference","2,432 B (0%)","76 (0%)"
"org.graalvm.visualvm.lib.jfluid.server.ClassLoaderManager","2,432 B (0%)","76 (0%)"
"java.util.concurrent.atomic.AtomicInteger","1,168 B (0%)","73 (0%)"
"com.tvd12.ezyfoxserver.statistics.EzyNetworkBytesFrameSecond","3,408 B (0%)","71 (0%)"
"sun.reflect.DelegatingClassLoader","5,112 B (0%)","71 (0%)"
"javassist.bytecode.SignatureAttribute","1,656 B (0%)","69 (0%)"
"javax.management.AttributeList","2,176 B (0%)","68 (0%)"
"java.security.Provider$ServiceKey","1,608 B (0%)","67 (0%)"
"java.util.concurrent.ConcurrentHashMap$ForwardingNode","2,112 B (0%)","66 (0%)"
"java.util.concurrent.ConcurrentHashMap$KeySetView","1,560 B (0%)","65 (0%)"
"javassist.bytecode.ConstInfo[]","33,792 B (0%)","64 (0%)"
"sun.reflect.DelegatingMethodAccessorImpl","992 B (0%)","62 (0%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject","1,464 B (0%)","61 (0%)"
